"GEO_ID","NAME","B05005_001E","B05005_001M","B05005_001MA","B05005_001EA","B05005_002E","B05005_002EA","B05005_002M","B05005_002MA","B05005_003E","B05005_003M","B05005_003MA","B05005_003EA","B05005_004E","B05005_004EA","B05005_004M","B05005_004MA","B05005_005E","B05005_005EA","B05005_005M","B05005_005MA","B05005_006E","B05005_006EA","B05005_006M","B05005_006MA","B05005_007E","B05005_007EA","B05005_007M","B05005_007MA","B05005_008E","B05005_008EA","B05005_008M","B05005_008MA","B05005_009E","B05005_009M","B05005_009MA","B05005_009EA","B05005_010E","B05005_010EA","B05005_010M","B05005_010MA","B05005_011E","B05005_011EA","B05005_011M","B05005_011MA","B05005_012E","B05005_012M","B05005_012MA","B05005_012EA","B05005_013E","B05005_013EA","B05005_013M","B05005_013MA","B05005_014E","B05005_014M","B05005_014MA","B05005_014EA","B05005_015E","B05005_015EA","B05005_015M","B05005_015MA","B05005_016E","B05005_016M","B05005_016MA","B05005_016EA","B05005_017E","B05005_017M","B05005_017MA","B05005_017EA","B05005_018E","B05005_018M","B05005_018MA","B05005_018EA","B05005_019E","B05005_019EA","B05005_019M","B05005_019MA","B05005_020E","B05005_020M","B05005_020MA","B05005_020EA","B05005_021E","B05005_021EA","B05005_021M","B05005_021MA","POPGROUP","POPGROUP_TTL",
"0500000US26161","Washtenaw County, Michigan","6710","524","null","null","3032","null","468","null","39","35","null","null","2993","null","457","null","300","null","113","null","2693","null","458","null","2142","null","304","null","26","null","30","null","2116","305","null","null","1062","null","206","null","1054","null","227","null","1038","185","null","null","0","null","109","null","1038","185","null","null","910","null","168","null","128","76","null","null","498","158","null","null","0","109","null","null","498","null","158","null","472","148","null","null","26","null","30","null","016","Chinese alone (410-419)",
"0500000US26163","Wayne County, Michigan","4908","519","null","null","1531","null","340","null","0","109","null","null","1531","null","340","null","230","null","135","null","1301","null","331","null","1449","null","292","null","0","null","109","null","1449","292","null","null","797","null","223","null","652","null","186","null","1091","218","null","null","9","null","15","null","1082","220","null","null","949","null","193","null","133","99","null","null","837","205","null","null","0","109","null","null","837","null","205","null","763","201","null","null","74","null","63","null","016","Chinese alone (410-419)",
"0500000US27003","Anoka County, Minnesota","881","315","null","null","250","null","122","null","0","93","null","null","250","null","122","null","39","null","37","null","211","null","117","null","437","null","202","null","42","null","58","null","395","195","null","null","247","null","169","null","148","null","79","null","81","60","null","null","0","null","93","null","81","60","null","null","81","null","60","null","0","93","null","null","113","86","null","null","0","93","null","null","113","null","86","null","113","86","null","null","0","null","93","null","016","Chinese alone (410-419)",
"0500000US27037","Dakota County, Minnesota","1354","328","null","null","463","null","147","null","30","36","null","null","433","null","150","null","157","null","87","null","276","null","112","null","407","null","147","null","0","null","93","null","407","147","null","null","239","null","131","null","168","null","101","null","241","101","null","null","0","null","93","null","241","101","null","null","227","null","100","null","14","22","null","null","243","124","null","null","0","93","null","null","243","null","124","null","243","124","null","null","0","null","93","null","016","Chinese alone (410-419)",
"0500000US27053","Hennepin County, Minnesota","6697","746","null","null","3062","null","551","null","34","26","null","null","3028","null","552","null","502","null","147","null","2526","null","542","null","2035","null","369","null","90","null","80","null","1945","345","null","null","1174","null","281","null","771","null","213","null","961","238","null","null","12","null","20","null","949","234","null","null","810","null","196","null","139","87","null","null","639","156","null","null","8","12","null","null","631","null","157","null","559","131","null","null","72","null","85","null","016","Chinese alone (410-419)",
"0500000US27109","Olmsted County, Minnesota","726","217","null","null","337","null","144","null","0","93","null","null","337","null","144","null","43","null","46","null","294","null","133","null","154","null","98","null","0","null","93","null","154","98","null","null","106","null","76","null","48","null","42","null","111","76","null","null","0","null","93","null","111","76","null","null","99","null","72","null","12","18","null","null","124","87","null","null","4","6","null","null","120","null","87","null","120","87","null","null","0","null","93","null","016","Chinese alone (410-419)",
"0500000US27123","Ramsey County, Minnesota","3405","522","null","null","1506","null","349","null","14","22","null","null","1492","null","349","null","213","null","90","null","1279","null","317","null","1106","null","228","null","0","null","93","null","1106","228","null","null","620","null","200","null","486","null","147","null","493","148","null","null","0","null","93","null","493","148","null","null","440","null","143","null","53","43","null","null","300","102","null","null","0","93","null","null","300","null","102","null","300","102","null","null","0","null","93","null","016","Chinese alone (410-419)",
"0500000US27139","Scott County, Minnesota","671","291","null","null","164","null","99","null","0","93","null","null","164","null","99","null","108","null","79","null","56","null","65","null","317","null","209","null","0","null","93","null","317","209","null","null","199","null","151","null","118","null","91","null","172","103","null","null","0","null","93","null","172","103","null","null","172","null","103","null","0","93","null","null","18","28","null","null","0","93","null","null","18","null","28","null","18","28","null","null","0","null","93","null","016","Chinese alone (410-419)",
"0500000US27163","Washington County, Minnesota","1004","296","null","null","295","null","174","null","0","93","null","null","295","null","174","null","118","null","83","null","177","null","113","null","334","null","132","null","0","null","93","null","334","132","null","null","213","null","107","null","121","null","82","null","317","141","null","null","0","null","93","null","317","141","null","null","294","null","128","null","23","39","null","null","58","50","null","null","0","93","null","null","58","null","50","null","58","50","null","null","0","null","93","null","016","Chinese alone (410-419)",
"0500000US29019","Boone County, Missouri","1831","374","null","null","1310","null","286","null","0","114","null","null","1310","null","286","null","35","null","37","null","1275","null","287","null","231","null","132","null","0","null","114","null","231","132","null","null","56","null","51","null","175","null","125","null","231","133","null","null","0","null","114","null","231","133","null","null","231","null","133","null","0","114","null","null","59","65","null","null","0","114","null","null","59","null","65","null","59","65","null","null","0","null","114","null","016","Chinese alone (410-419)",
"0500000US29077","Greene County, Missouri","841","231","null","null","478","null","175","null","0","114","null","null","478","null","175","null","93","null","69","null","385","null","162","null","159","null","107","null","0","null","114","null","159","107","null","null","127","null","101","null","32","null","31","null","150","98","null","null","0","null","114","null","150","98","null","null","143","null","97","null","7","13","null","null","54","55","null","null","0","114","null","null","54","null","55","null","22","28","null","null","32","null","48","null","016","Chinese alone (410-419)",
"0500000US29095","Jackson County, Missouri","1574","334","null","null","949","null","279","null","6","9","null","null","943","null","280","null","382","null","183","null","561","null","216","null","270","null","113","null","0","null","114","null","270","113","null","null","166","null","92","null","104","null","67","null","259","108","null","null","9","null","16","null","250","110","null","null","233","null","109","null","17","26","null","null","96","58","null","null","15","25","null","null","81","null","51","null","68","46","null","null","13","null","22","null","016","Chinese alone (410-419)",
"0500000US29183","St. Charles County, Missouri","818","255","null","null","263","null","155","null","0","114","null","null","263","null","155","null","74","null","51","null","189","null","149","null","311","null","146","null","2","null","3","null","309","146","null","null","167","null","107","null","142","null","88","null","192","105","null","null","0","null","114","null","192","105","null","null","186","null","102","null","6","11","null","null","52","52","null","null","0","114","null","null","52","null","52","null","52","52","null","null","0","null","114","null","016","Chinese alone (410-419)",
"0500000US29189","St. Louis County, Missouri","6099","679","null","null","1960","null","346","null","76","71","null","null","1884","null","346","null","497","null","147","null","1387","null","317","null","2067","null","417","null","12","null","19","null","2055","418","null","null","969","null","232","null","1086","null","281","null","1280","298","null","null","0","null","114","null","1280","298","null","null","962","null","245","null","318","158","null","null","792","229","null","null","0","114","null","null","792","null","229","null","691","179","null","null","101","null","75","null","016","Chinese alone (410-419)",
"0500000US29510","St. Louis city, Missouri","1386","364","null","null","992","null","288","null","0","114","null","null","992","null","288","null","121","null","78","null","871","null","273","null","154","null","97","null","0","null","114","null","154","97","null","null","130","null","91","null","24","null","29","null","190","120","null","null","52","null","78","null","138","87","null","null","124","null","80","null","14","22","null","null","50","42","null","null","0","114","null","null","50","null","42","null","50","42","null","null","0","null","114","null","016","Chinese alone (410-419)",
"0500000US31055","Douglas County, Nebraska","1890","408","null","null","923","null","287","null","14","23","null","null","909","null","281","null","76","null","55","null","833","null","279","null","712","null","224","null","14","null","23","null","698","221","null","null","284","null","121","null","414","null","187","null","142","92","null","null","0","null","99","null","142","92","null","null","133","null","89","null","9","15","null","null","113","81","null","null","0","99","null","null","113","null","81","null","80","60","null","null","33","null","43","null","016","Chinese alone (410-419)",
"0500000US31109","Lancaster County, Nebraska","1517","374","null","null","990","null","270","null","0","99","null","null","990","null","270","null","28","null","31","null","962","null","267","null","219","null","121","null","0","null","99","null","219","121","null","null","75","null","71","null","144","null","91","null","277","176","null","null","0","null","99","null","277","176","null","null","241","null","149","null","36","42","null","null","31","32","null","null","0","99","null","null","31","null","32","null","31","32","null","null","0","null","99","null","016","Chinese alone (410-419)",
"0500000US32003","Clark County, Nevada","18211","1383","null","null","5596","null","1018","null","92","67","null","null","5504","null","1001","null","940","null","303","null","4564","null","884","null","3844","null","570","null","29","null","34","null","3815","566","null","null","2363","null","408","null","1452","null","318","null","4220","416","null","null","106","null","80","null","4114","420","null","null","3587","null","396","null","527","187","null","null","4551","500","null","null","99","57","null","null","4452","null","499","null","4263","486","null","null","189","null","112","null","016","Chinese alone (410-419)",
"0500000US32031","Washoe County, Nevada","2902","597","null","null","763","null","310","null","8","14","null","null","755","null","310","null","128","null","89","null","627","null","296","null","850","null","264","null","0","null","136","null","850","264","null","null","348","null","150","null","502","null","219","null","697","220","null","null","0","null","136","null","697","220","null","null","686","null","218","null","11","19","null","null","592","182","null","null","36","48","null","null","556","null","160","null","546","157","null","null","10","null","16","null","016","Chinese alone (410-419)",
